X,Y,geo_borne,annee,object_rid,creat_date,update_dat,lot,icon_url
-0.039797420222758,49.2345917093574,"6484","2020",Objet_689039,2010/02/08,2014/03/03,NCPA,
-0.039767995348927,49.2346029775305,"6485","2020",Objet_689040,2010/02/08,2014/03/03,NCPA,
-0.03969926838513,49.2346257629657,"6486","2020",Objet_689042,2010/02/08,2014/03/03,NCPA,
-0.039657644371252,49.2346328404779,"6487","2020",Objet_689043,2010/02/08,2014/03/03,NCPA,
-0.039591886324394,49.2346360283323,"6488","2020",Objet_689044,2010/02/08,2014/03/03,NCPA,
-0.039526544377219,49.2346299391508,"6489","2020",Objet_689046,2010/02/08,2014/03/03,NCPA,
-0.039422335969842,49.234605397423,"6490","2020",Objet_689047,2010/02/08,2014/03/03,NCPA,
-0.039336140715743,49.2345787819665,"6491","2020",Objet_689048,2010/02/08,2014/03/03,NCPA,
-0.03917121133578,49.2345286015085,"6492","2020",Objet_689050,2010/02/08,2014/03/03,NCPA,
-0.039062717820437,49.234487253911,"6493","2020",Objet_689051,2010/02/08,2014/03/03,NCPA,
-0.03839655717531,49.2341020813599,"6494","2020",Objet_689052,2010/02/08,2014/03/03,NCPA,
-0.038777853540726,49.2343413143567,"6495","2020",Objet_689054,2010/02/08,2014/03/03,NCPA,
-0.04046137193089,49.2350417956706,"6496","2020",Objet_689055,2010/02/08,2014/03/03,NCPA,
-0.039832948577663,49.2348196869875,"6497","2020",Objet_689058,2010/02/08,2014/03/03,NCPA,
-0.039601545109604,49.2346764494058,"6498","2020",Objet_689059,2010/02/08,2014/03/03,NCPA,
-0.041130868275322,49.2347453797137,"6499","2020",Objet_689060,2010/02/08,2014/03/03,NCPA,
-0.04002400516095,49.234718424393,"6500","2020",Objet_835113,2012/02/02,2014/03/03,NCPA,
-0.038512338157303,49.2337276024438,"6501","2020",Objet_906559,2012/09/10,2014/12/01,NCPA,
-0.038723543347256,49.2338872753362,"6502","2020",Objet_921342,2012/09/10,2014/12/01,NCPA,
-0.038875415714117,49.2340004919802,"6503","2020",Objet_921345,2012/09/10,2014/12/01,NCPA,
-0.052777336463989,49.2358386793202,"6504","2020",Objet_75127,2001/08/17,2014/03/03,NCPA,
-0.050204575711446,49.2362975097899,"6505","2020",Objet_997284,2017/11/10,2017/11/10,NCPA,
-0.050867817223181,49.2360912538585,"6506","2020",Objet_997271,2017/11/10,2017/11/10,NCPA,
-0.04809533080098,49.2364091685497,"6507","2020",Objet_997275,2017/11/10,2017/11/10,NCPA,
-0.048715809564527,49.2362580759461,"6508","2020",Objet_997286,2017/11/10,2017/11/10,NCPA,
-0.048391000546758,49.2363370050308,"6509","2020",Objet_997274,2017/11/10,2017/11/10,NCPA,
-0.040270455974492,49.235126771511,"6510","2020",Objet_689056,2010/02/08,2014/03/03,NCPA,
-0.050057926560616,49.2371207244611,"6511","2020",Objet_997339,2017/11/10,2017/11/10,NCPA,
-0.049775579400705,49.2367388547308,"6512","2020",Objet_997328,2017/11/10,2017/11/10,NCPA,
-0.04928024276698,49.2368965930377,"6513","2020",Objet_997332,2017/11/10,2017/11/10,NCPA,
-0.0493254858948,49.2367668865612,"6514","2020",Objet_997296,2017/11/10,2017/11/10,NCPA,
-0.049175174955128,49.2367295746817,"6515","2020",Objet_997295,2017/11/10,2017/11/10,NCPA,
-0.050452372041451,49.2365292895811,"6516","2020",Objet_997291,2017/11/10,2017/11/10,NCPA,
-0.050347596545609,49.2364906467453,"6517","2020",Objet_997290,2017/11/10,2017/11/10,NCPA,
-0.050410555477784,49.2364725894966,"6518","2020",Objet_997289,2017/11/10,2017/11/10,NCPA,
-0.04903889184473,49.2367833135163,"6519","2020",Objet_997287,2017/11/10,2017/11/10,NCPA,
-0.050389407752533,49.2365472570184,"6520","2020",Objet_997283,2017/11/10,2017/11/10,NCPA,
-0.051024998435066,49.2368709724844,"6521","2020",Objet_997281,2017/11/10,2017/11/10,NCPA,
-0.05071528189942,49.2364538109735,"6522","2020",Objet_997280,2017/11/10,2017/11/10,NCPA,
-0.048995292550555,49.2369874703614,"6523","2020",Objet_997279,2017/11/10,2017/11/10,NCPA,
-0.049543914919434,49.2373229298048,"6524","2020",Objet_997277,2017/11/10,2017/11/10,NCPA,
-0.047147278215049,49.2378693608318,"6525","2020",Objet_75123,2001/08/17,2014/03/03,NCPA,
-0.046970310230337,49.2377458128524,"6526","2020",Objet_75124,2001/08/17,2014/03/03,NCPA,
-0.046004970676737,49.2368273674684,"6527","2020",Objet_990682,2017/04/11,2017/04/11,NCPA,
-0.048912533555812,49.2368981581333,"6528","2020",Objet_997383,2017/11/10,2017/11/10,NCPA,
-0.04799242652013,49.2373386931264,"6529","2020",Objet_997341,2017/11/10,2017/11/10,NCPA,
-0.048861028841415,49.2375295846145,"6530","2020",Objet_997340,2017/11/10,2017/11/10,NCPA,
-0.048634496734214,49.2372250211134,"6531","2020",Objet_997336,2017/11/10,2017/11/10,NCPA,
-0.048648472913879,49.2371987573258,"6532","2020",Objet_997310,2017/11/10,2017/11/10,NCPA,
-0.04857904804513,49.2371514817243,"6533","2020",Objet_997302,2017/11/10,2017/11/10,NCPA,
-0.048696285610372,49.2368750189087,"6534","2020",Objet_997306,2017/11/10,2017/11/10,NCPA,
-0.048744704221695,49.2368596694743,"6535","2020",Objet_997294,2017/11/10,2017/11/10,NCPA,
-0.048435947205922,49.236956905486,"6536","2020",Objet_997292,2017/11/10,2017/11/10,NCPA,
-0.048955479316797,49.2371021049023,"6537","2020",Objet_997278,2017/11/10,2017/11/10,NCPA,
-0.046278052708146,49.2385605899903,"6538","2020",Objet_75120,2001/08/17,2014/03/03,NCPA,
-0.046081118040326,49.2383104234234,"6539","2020",Objet_75122,2001/08/17,2014/03/03,NCPA,
-0.045251277657094,49.2383296828727,"6540","2020",Objet_711423,2012/10/16,2014/03/03,NCPA,
-0.044694279774383,49.2383648061844,"6541","2020",Objet_711424,2012/10/16,2014/03/03,NCPA,
-0.04501589325944,49.2384272149974,"6542","2020",Objet_711425,2012/10/16,2014/03/03,NCPA,
-0.045088131949999,49.2384616462946,"6543","2020",Objet_745830,2012/10/16,2014/03/03,NCPA,
